,marka,fiyat,kamera çözünürlük,Dahili hafıza,Ram,ekran boyutu,pil gücü,mobil bağlantı hızı,model,ön kamera sayısı,on kamera cozunurluk araligi,arka kamera sayisi,ekran boyutu aralığı,işletim sistemi,çift hat,garanti süresi,şarj girişi,ana kamera çözünürlük,nfc,kulaklık girişi,batarya,renk
289,Samsung,1999,5,8,1,4,900-3000,4,,1,5,1,4,Android,Var,2,Micro-USB,5,Yok,3.5 mm,2000,Sarı
290,Xiaomi,4899,10,64,4,6,4000 - 5000,4.5,,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Yeşil
291,Tecno,4589,20,128,4,6,5000,4.5,,1,20,3,6,Android,Var,2,USB Type-C,20,Yok,3.5 mm,4500,Mavi
292,Tecno,24999,20,256,12,6,5000,5,,3,20,3,6,Android,Var,2,USB Type-C,20,Var,USB Type-C,5000,Gri
293,Samsung,42950,10,256,8,6,3000 - 7900,5,,1,5,2,6,Android,Var,2,USB Type-C,5,Var,USB Type-C,4500,Mor
294,NOTHING,36800,50,512,12,6,4780,4.5,,1,10,2,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,4000,Siyah
295,Apple,44399,12,128,6,6,3279,5,iPhone 14,1,10,2,6,iOS,Var,2,Lightning,10,Var,Lightning,3000,Siyah
296,Xiaomi,8959,5,128,6,4,1500  altı,4.5,Redmi Note 11,1,10,4,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,4500,Gri
297,Smart,,5,4,4,4,1500  altı,3,,1,5,1,4,Android,Var,2,Micro-USB,5,Yok,3.5 mm,3000,Sarı
298,vivo,11999,50,256,8,6,5020,4,,1,15,3,6,Android,Yok,2,USB Type-C,15,Var,USB Type-C,4500,Altın
299,vivo,16999,5,256,12,4,1500  altı,5,,2,40,3,6,Android,Var,2,USB Type-C,40,Var,USB Type-C,4000,Siyah
300,Samsung,19999,5,256,8,4,1500  altı,4.5,Galaxy S21,1,15,1,7,Android,Var,2,USB Type-C,15,Var,3.5 mm,4000,Gri
301,Samsung,5944,20,64,4,7,1500  altı,4.5,Galaxy M13,1,5,3,6,Android,Var,2,USB Type-C,5,Yok,3.5 mm,4500,Pembe
302,Samsung,6715,20,128,4,6,4000 - 5000,5,Galaxy M14,1,10,3,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,5000,Lacivert
303,Xiaomi,18499,5,128,8,4,900-3000,5,,1,15,3,6,Android,Var,2,USB Type-C,15,Var,3.5 mm,5000,Gri
304,realme,4950,5,128,4,6,1500  altı,4.5,,10+,5,2,6,Android,Var,2,Micro-USB,5,Yok,3.5 mm,5000,Gri
305,General Mobile,9700,20,128,6,6,5000,4.5,,1,15,4,6,Android,Yok,2,USB Type-C,15,Yok,3.5 mm,5000,Siyah
306,Xiaomi,7099,20,64,6,6,3000 - 7900,4.5,,1,10,4,6,Android,Var,2,USB Type-C,10,Yok,3.5 mm,4500,Siyah
307,POCO,15999,5,128,8,4,900-3000,4.5,,1,20,4,6,Android,Yok,2,USB Type-C,20,Var,3.5 mm,5000,Siyah
308,Samsung,29666,50,256,8,6,3900,5,Galaxy S23,1,10,3,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,5000,Bej
309,Samsung,56500,10,1 TB,8,6,4000 - 5000,5,Galaxy S23 Ultra,1,10,5,6,Android,Var,2,USB Type-C,10,Var,USB Type-C,3500,Siyah
310,Samsung,5784,5,128,8,4,1500  altı,4.5,,1,20,4,6,Android,Var,2,USB Type-C,20,Var,3.5 mm,5000,Beyaz
311,INFINIX,4850,20,128,4,6,5000,4.5,,1,5,2,6,Android,Var,2,USB Type-C,5,Yok,USB Type-C,5000,Siyah
312,POCO,18832,20,256,12,6,5000,5,POCO F5,1,15,3,6,Android,Var,2,USB Type-C,15,Var,USB Type-C,5000,Mavi
313,Samsung,6275,5,64,4,4,1500  altı,4.5,Galaxy A13,1,5,1,7,Android,Var,2,USB Type-C,5,Yok,3.5 mm,5000,Mavi
